Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
SYLVAMO,6077 PRIMACY,IDB17850000000,8100400000170,01/01/2022,12/31/2036,"$174,277","$65,035","$13,721","-$95,520"
AUTOZONE INC,1585 ELVIS PRESLEY,IDB1790A000000,0017900000000D,12/31/2019,12/31/2034,"$19,438",$0,"$4,859","-$14,578"
MCKESSON CORPORATION,4971 Southridge,IDB1793A000000,0017930000000D,12/31/2014,12/31/2026,$202,$100,$38,-$64
HYOSUNG HEAVY INDUSTRIES CORPORATION,2865 RIVERPORT,IDB1794A000000,0017940000000D,12/31/2019,12/31/2030,"$39,178",$0,"$9,794","-$29,383"
BIG BOX PROPERTY OWNER C LLC,3955 HOLMES,IDB17950000000,"09410000001530, 09410000001550",12/31/2019,12/31/2029,"$651,966","$519,726","$33,491","-$98,750"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,8125 SEDGWICK,IDB1795A000000,0017950000000D,12/31/2019,12/31/2024,"$17,005",$0,"$4,251","-$12,754"
FRANKLIN SPORTS INC,5510 GETWELL,IDB17960000000,9410000000700,02/01/2020,02/01/2026,"$515,421","$370,683","$36,185","-$108,554"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,2846 AIRWAYS,IDB1796A000000,0017960000000D,12/31/2018,12/31/2033,"$18,433",$0,"$4,608","-$13,825"
THE MEMPHIAN HOTEL,21 COOPER,IDB17970000000,1707300000220,10/01/2020,09/30/2035,"$170,658","$3,202","$41,118","-$126,338"
"NUCOR STEEL MEMPHIS, INC",2315 PIER,IDB1797A000000,0017970000000D,01/01/2020,12/31/2024,"$5,776",$0,"$1,444","-$4,332"
OLYMBEC USA LLC,611 WINCHESTER,IDB17980000000,7701700000030,09/01/2020,09/01/2035,"$44,869","$6,947","$9,629","-$28,293"
EXEL,6200 GLOBAL DRIVE,IDB1798A000000,0943000000601C,12/31/2020,12/31/2027,"$191,175",$0,"$14,711","-$176,463"
MIMEO.COM,3350 MIAC,IDB17990000000,7300600000550,01/01/2020,12/31/2034,"$61,618","$14,029","$5,504","-$42,085"
SEDGWICK CLAIMS MANAGEMENT SERVICES INC,8125 SEDGWICK,IDB18000000000,8109200000020,12/31/2018,12/31/2033,"$281,865","$63,867","$26,397","-$191,601"
FRANKLIN SPORTS INC,5510 GETWELL,IDB1800A000000,0018000000000D,12/31/2020,12/31/2036,"$16,176",$0,"$4,044","-$12,132"
1544 MADISON PARTNERS,1544 MADISON,IDB18010000000,"0170310000012C, 01703100000300",11/01/2019,10/31/2036,"$11,887","$15,319",$0,"$3,432"
HYOSUNG HICO LTD,2865 RIVERPORT RD,IDB18020000000,"05011800000380, 05011800000550",12/14/2020,02/13/2031,"$442,579",$0,"$110,645","-$331,935"
SPUS9 Memphis Global LP,6200 GLOBAL DRIVE,IDB18030000000,0943000000601C,06/01/2020,06/01/2027,"$254,900","$99,411","$44,035","-$111,454"
POWER TRANSPORT,2098 EXECUTIVE COURT DR,IDB18040000000,06022220I000150,12/01/2019,12/31/2027,"$2,282","$9,002",$0,"$6,720"
PEROXYCHEM LLC,2005 MARKET ST,IDB18050000000,0690740000014L,12/31/2019,12/31/2026,"$109,032","$5,990","$25,761","-$77,282"
PFIZER INC,949 SHADY GROVE,IDB1806A000000,0018060000000D,12/31/2020,12/31/2033,"$1,632",$0,$408,"-$1,224"
STEPHERSON INCORPORATED D/B/A SUPERLO FOODS,2269 LAMAR,IDB18070000000,"04702000001310, 04702000001320",12/31/2019,12/31/2034,"$21,699","$8,769","$3,381","-$9,549"
TECHNICOLOR,4155 HOLMES,IDB1807A000000,0018070000000D,01/01/2021,12/31/2035,"$8,725",$0,"$2,181","-$6,544"
TECHNICOLOR,5215 LAMAR,IDB1808A000000,0018080000000D,01/01/2021,12/31/2035,"$1,820",$0,$455,"-$1,365"
TECHNICOLOR,5140 MEMPHIS OAKS,IDB1809A000000,0018090000000D,01/01/2021,12/31/2035,"$5,029",$0,"$1,257","-$3,772"
TECHNICOLOR,4926 SOUTHRIDGE,IDB1810A000000,0018100000000D,12/31/2020,12/31/2034,"$2,447",$0,$612,"-$1,835"
PENN A KEM LLC,3324 CHELSEA,IDB1811A000000,0018110000000D,12/31/2020,12/31/2032,"$39,260",$0,"$9,815","-$29,445"
MIMEO.COM,3350 MIAC,IDB1812A000000,0018120000000D,12/31/2008,12/31/2021,"$17,988",$0,"$4,497","-$13,491"
BLUES CITY BREWERY LLC,5151 E RAINES,IDB1813A000000,0018130000000D,12/31/2020,12/31/2032,"$484,586",$0,"$90,860","-$393,726"
NTERNATIONAL PAPER COMPANY,3232 PLAYERS CLUB,IDB1815A000000,0018150000000D,12/31/2016,12/31/2031,"$66,441",$100,"$16,610","-$49,730"
NTERNATIONAL PAPER COMPANY,6400 POPLAR (TOWER 3),IDB1817A000000,0018170000000D,12/31/2016,12/31/2031,"$6,216",$100,"$1,153","-$4,963"
NTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB1818A000000,0018180000000D,12/31/2016,12/31/2031,"$3,887",$100,$977,"-$2,810"
NTERNATIONAL PAPER COMPANY,1740 INTERNATIONAL DR,IDB1819A000000,0018190000000D,12/31/2016,12/31/2031,"$5,076",$100,"$1,269","-$3,707"
NTERNATIONAL PAPER COMPANY,6400 POPLAR (TOWER 1),IDB1820A000000,0018200000000D,12/31/2016,12/31/2031,"$12,859",$100,"$3,215","-$9,544"
EXEL,3300 TCHULATECH,IDB18210000000,"09410000003030, 09410000003190",07/01/2021,06/30/2034,"$941,827","$47,069","$223,689","-$671,068"
HYOSUNG HICO LTD,2865 RIVERPOINT,IDB1821A000000,0018210000000D,12/31/2020,12/31/2031,"$265,069",$0,"$66,267","-$198,802"
AUTOZONE,123 FRONT,IDB1822A000001,179800000000,01/01/2021,12/31/2035,$0,$0,"$4,729","$4,729"
2615 SUMMER AVE LLC/DBA STONE SOLUTION,2615 SUMMER AVE,IDB1823A000000,1823000000000,01/01/2021,12/31/2025,$0,$0,"$2,491","$2,491"
AUTOZONE PARTS,100 FRONT,IDB18240000000,"00204200000210,00204200000200, 00204200000190",02/01/2021,12/31/2024,"$95,092","$19,074","$21,567","-$54,451"
CROWN WORLD,2990 AIRWAYS,IDB18250000000,6022000000760,04/01/2021,04/01/2031,"$11,675","$2,388","$2,322","-$6,965"
LESAINT LOGISTICS LLC,5461 DAVIDSON,IDB18280000000,9420000004460,12/31/2020,12/31/2030,"$488,089","$149,445","$84,667","-$253,977"
MAKOWSKY RINGEL GREEN LLC,1819 MADISON,IDB18290000000,0170470000003C,10/01/2020,09/30/2034,"$165,161","$6,577","$38,429","-$120,155"
PENN A KEM LLC,3324 CHELSEA,IDB1829A000000,4304700000140,12/31/2021,12/31/2033,"$15,804",$0,"$9,651","-$6,153"
RAYMOND JAMES & ASSOCIATES,889 RIDGE LAKE,IDB18300000000,0800230J000010,12/31/2021,12/31/2029,"$142,775","$126,788","$7,577","-$8,410"
RAYMOND JAMES & ASSOCIATES,1100 RIDGEWAY LOOP,IDB18310000000,0800240000011C,12/31/2021,12/31/2029,"$360,941","$301,717","$14,806","-$44,418"
COGNATE BIOSERVICES INC.,4600 E. SHELBY DRIVE,IDB1831A000000,D0018310000000,12/31/2021,12/31/2036,"$11,041",$0,"$2,070","-$8,970"
UBIQUITI INC,6200 GLOBAL DRIVE,IDB1832A000000,D0018320000000,12/31/2021,12/31/2031,"$17,906",$0,"$3,357","-$14,549"
ONYX MEDICAL LLC,1800 N SHELBY OAKS,IDB1833A000000,D0018330000000,12/31/2019,12/31/2029,"$20,500",$0,"$3,844","-$16,656"
EXEL INC,3300 TCHULATECH DRIVE,IDB1834A000000,D0018340000000,12/31/2021,12/31/2034,"$590,454",$0,"$18,289","-$572,164"
"PRIMACY PROPERTY LEASING MEMPHIS, LLC",6077 PRIMACY PARKWAY,IDB18350000000,8100400000170,12/31/2021,12/31/2036,"$174,277","$43,065","$13,721","-$117,491"
EXEL INC,3387 TCHULATECH DRIVE,IDB1835A000000,D0018350000000,12/31/2021,12/31/2034,"$351,374",$0,"$6,780","-$344,594"
"A-Z LRC, 1, LLC",7625 APPLING CENTER DRIVE,IDB18360000000,9200500000530,01/01/2022,01/01/2032,"$105,128","$56,319","$12,202","-$36,607"
"TAG AMERICAN WAY REAL ESTATE, LLC",4430 & 4504 AMERICAN WAY,IDB1836A000000,0018360000000D,12/31/2019,12/31/2031,$0,$0,$575,$575
AESTHETIC MANAGEMENT PARTNERS INC,9113 MACON ROAD,IDB18370000000,D0215000004660,07/01/2022,06/30/2034,"$33,379","$8,261","$2,141","-$22,977"
THE MEMPHIAN HOTEL,21 S COOPER,IDB1842A000000,0018420000000D,10/01/2020,09/30/2035,"$28,191",$0,"$7,043","-$21,148"
AUTOZONE PART INC,"100, 104, 110, & 123 S. FRONT ST.",IDB1843A000000,"00204200000210,00204200000200,002 04200000190,0020440000004C",12/31/2021,12/31/2036,"$440,950",$0,"$13,413","-$427,536"
"THRIVE LANDLORD, LLC",2344 AUTUMN AVENUE & 2345 PARKWAY PLACE,IDB18440000000,"0330050000042Z, 0330020000036Z",06/30/2022,06/30/2037,"$8,897","$8,897",$0,$0
EXEL,6200 GLOBAL DRIVE,IDB1844A000000,0018340000000D,12/31/2021,12/01/2028,$0,"$4,024",$0,"$4,024"
TRIPLE BELL,0 E. HOLMES; 0 AIRWAYS BLVD; 5568 AIRWAYS BLVD,IDB18460000000,"0440000000100C, 09440000001010, 09440000001110, 09440000001120, 09440000001130, 09440000001370, 09440000001530",12/01/2020,11/30/2026,"$436,235","$33,455","$105,644","-$297,135"
WALGREEN CO,3299 TCHULATECH,IDB18470000000,9410000003180,02/01/2022,02/01/2032,"$168,737","$3,599","$13,665","-$151,473"
WATER TO WINE,3637 PARK,IDB18480000000,5804800000050,07/01/2022,07/01/2033,"$5,150","$1,244",$845,"-$3,061"
EXEL,3299 TCHULATECH,IDB18490000000,9410000003180,01/01/2022,12/31/2026,"$168,737","$6,491","$24,645","-$137,600"
INTERNATIONAL PAPER,5321 E SHELBY DR,IDB18500000000,9360000004410,07/01/2022,12/31/2030,"$99,902","$4,025","$11,581","-$84,296"
ALPHATEC SPINE,1950 CAMINO VIDA RABLE ALY,IDB18510000000,7410100000290,01/01/2022,12/31/2032,"$37,356","$2,617","$5,448","-$29,292"
IMPERIAL,6099 GLOBAL DRIVE,IDB18520000000,9420000005030,07/01/2021,07/01/2031,"$194,240","$5,547","$23,526","-$165,167"
RENASANT,5575 POPLAR,IDB18530000000,0560600000001C,07/01/2021,07/01/2031,"$169,927","$66,241","$23,602","-$80,084"
EBROFROST - RIVIANA,2360 PROSPECT,IDB18540000000,0490680000004C,01/01/2017,01/01/2024,"$165,717","$92,343","$18,643","-$54,730"
THE PALLET FACTORY,3740 ARNOLD ROAD,IDB18550000000,0730920000066C,12/31/2020,12/31/2027,"$19,419","$12,475","$1,736","-$5,208"
