Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
FORD SR VILLAS LP,556 DEERSKIN,IHE0002O000000,"0750870F000010, 0750870F000020, 0750870F000030, 0750870F000040, 0750870F000050, 0750870F000060, 0750870F000070, 0750870F000080, 0750870F000090, 0750870F000100, 0750870F000110, 0750870F000120, 0750870F000130, 0750870F000140, 0750870F000150, 0750870F000160, 0750870F000170, 0750870F000180, 0750870F000190, 0750870F000200, 0750870F000210, 0750870F000220, 0750870F000230, 0750870F000240, 0750870F000250, 0750870F000260, 0750870F000270, 0750870F000280, 0750870F000290, 0750870F000300, 0750870F000310, 0750870F000320, 0750870F000330, 0750870F000340, 0750870F000350, 0750870F000360, 0750870F000370, 0750870F000380,",03/15/2007,03/15/2027,"$71,513","$2,174",$0,"-$69,339"
FRANKLIN SPORTS INC,5510 GETWELL,IDB1719A000000,0017190000000D,12/31/2018,12/31/2024,$800,$0,$200,-$600
FRANKLIN SPORTS INC,5510 GETWELL,IDB1780A000000,0017800000000D,12/31/2019,12/31/2025,"$1,454",$0,$364,"-$1,091"
FRANKLIN SPORTS INC,5510 GETWELL,IDB17960000000,9410000000700,02/01/2020,02/01/2026,"$515,421","$370,683","$36,185","-$108,554"
FRANKLIN SPORTS INC,5510 GETWELL,IDB1800A000000,0018000000000D,12/31/2020,12/31/2036,"$16,176",$0,"$4,044","-$12,132"
FRIX PROPERTIES,59 MAIN,ICC07180000000,203900000130,12/31/2007,12/31/2022,"$9,340","$2,313","$1,757","-$5,270"
GATEWAY APARTMENTS LP,1045 JEFFERSON,ICC02130000000,0180620000004C,12/31/1997,12/31/2022,"$24,451","$4,339",$0,"-$20,112"
GAYOSO HOUSE LP,141 MAIN,ICC01130000000,"00204300000040, 00204300000100",12/21/1993,12/21/2023,"$106,286","$1,124",$0,"-$105,162"
GETWELL POINTE APARTMENTS,3007 GETWELL ROAD,IHE0007J000000,730170000198,01/21/2022,01/20/2042,"$35,598","$16,824",$0,"-$18,774"
GILL POPLAR GP,6797 HWY 72,IDB0000G000050,G0219000003110,03/17/2018,03/17/2033,"$346,522","$169,314","$44,302","-$132,906"
GLENDALE PARK,3910 STUART,IHE0005E000000,0580560000047C,12/31/2016,12/30/2026,"$51,856","$7,017",$0,"-$44,839"
GMF-BENT TREE LLC,2046 WINCHESTER,IHE0003W000000,"07800800000150, 07800800000160, 07800800000590",10/30/2013,10/29/2023,"$67,209","$9,725",$0,"-$57,483"
GOSPEL GARDENS TN TC LP,4801 FARRIS CIRCLE,IHE0005A000000,"07611400000040, 07611400000050",09/14/2018,09/14/2028,"$121,046","$6,373",$0,"-$114,673"
GPT INDUSTRIAL GROUP OWNER I LP,6100 HOLMES,IDB16900000000,9420000005070,06/04/2018,06/04/2026,"$497,923","$17,259","$120,166","-$360,498"
"GRACELAND POINTE SADDLE VINEYARDS, LP",3507 BOEINGSHIRE,IHE0004A000000,"07802800000190, 07802800001900, 07802800001910",12/11/2013,12/10/2023,"$56,457","$3,221",$0,"-$53,237"
GRAHAMWOOD PLACE APARTMENT COMMUNITY LLC,4045 SUMMER,IHE0003G000000,5500100000860,05/10/2012,05/09/2032,"$66,207","$15,669",$0,"-$50,538"
"HA MEMPHIS HOLDINGS - 138 HULING, LLC",138 HULING,ICC07640000000,"00211900000030, 00211900000040",08/30/2018,08/30/2028,"$108,198","$3,602","$26,149","-$78,447"
HARBOR TOWN CENTRE,113 HARBOR TOWN,ICC03860000000,"0010010S000010, 0010010S000020, 0010010S000030, 0010010S000050, 0010010S000060, 0010010S000070, 0010010S000080, 0010010S000130,",08/31/1998,08/31/2024,"$7,652",$469,$0,"-$7,183"
"HARBOR VIEW PROPERTIES, INC",1513 SECOND,ICC07270000000,"0390010000003C, 03900100000060, 03900100000130",12/30/2008,12/30/2023,"$132,710",$597,"$33,028","-$99,085"
HERTZ MEMPHIS THREE LLC,195 MADISON,ICC03260000000,0020600000002C,12/29/1998,12/31/2028,"$62,678","$5,943",$0,"-$56,735"
HICKORY GROVE TMF RIDGEWAY LLC,6277 LAKE ARBOR,IHE0005P000000,"0932000000337C, 09320000003380",01/01/2020,12/31/2039,"$299,958","$115,025",$0,"-$184,933"
HIGHLAND MEADOWS APTS,3517 ANDY WAY,IPH0000B000000,0830200000017C,10/16/1989,12/01/2029,"$122,950",$89,$0,"-$122,861"
HIGHLAND MEADOWS PARTNERS LLC,5001 AIRWAYS BLVD,IHE0003Y000000,0790870000059C,12/31/2012,12/30/2022,"$124,178","$37,561",$0,"-$86,617"
HIGHWOODS REALTY LIMITED PARTNERSHIP,0 INTERNATIONAL PLACE,IDB09920000000,0800080000480C,12/31/2014,12/31/2029,"$687,850","$32,891","$171,963","-$482,997"
HILLCREST MEMPHIS LP,"4155 EAST WIND DR., #1",IHE0000A000000,0790040000001C,10/01/2008,09/30/2028,"$53,193","$16,412",$0,"-$36,781"
HMD WRIGHT LLC,0 MEMPHIS-ARLINGTON,IDB0000A000190,A0141L0A000340,05/01/2019,05/01/2029,"$85,222","$2,796","$21,305","-$61,121"
HOLLYWOOD FEED LLC,1341 WARFORD,IDB17020000000,"0430060000008C, 04300600000110",07/31/2018,07/31/2028,"$15,264","$3,180","$3,021","-$9,064"
HOLLYWOOD FEED LLC,1341 WORFORD,IDB1743A000000,0017510000000D,12/31/2018,12/31/2028,"$30,452",$0,"$7,613","-$22,839"
HORN LAKE APARTMENTS LP,4353 HORN LAKE,IHE0002T000000,"0751500B000010, 0751500B000020, 0751500B000030, 0751500B000040, 0751500B000050, 0751500B000060, 0751500B000070, 0751500B000080, 0751500B000090, 0751500B000100, 0751500B000110, 0751500B000120, 0751500B000130, 0751500B000140, 0751500B000150, 0751500B000160, 0751500B000170, 0751500B000180, 0751500B000190, 0751500B000200, 0751500B000210, 0751500B000220, 0751500B000230, 0751500B000240, 0751500B000250, 0751500B000260, 0751500B000270, 0751500B000280, 0751500B000290, 0751500B000300, 0751500B000310, 0751500B000320, 0751500B000330, 0751500B000340, 0751500B000350, 0751500B000360, 0751500B000370, 0751500B000380, 0751500B000390,",07/11/2008,07/11/2028,"$80,513",$279,$0,"-$80,234"
HOTEL MEMPHIS,250 N MAIN ST,ICC02290000000,"00102900000040, 00102900000050, 0010300000001L",04/14/1998,04/14/2023,"$607,721","$135,600",$0,"-$472,121"
HOTEL PEABODY GP,150 PEABODY,ICC0419B000000,0050050A000010,07/29/1999,07/29/2024,"$66,182","$44,124",$0,"-$22,059"
"HOTEL PEABODY, LTD",149 UNION,ICC02120000000,"0020510A000010, 0020510A000020, 0020510A000030, 0020510A000040,",12/31/1997,12/31/2037,"$1,353,185","$366,471",$0,"-$986,714"
HUNTERS RIDGE (PROPERTY SOLUTIONS GROUP),3108 NEW ALLEN ROAD,IHE0006V000000,"08401100000010, 08401100000360",12/01/2021,11/30/2041,"$25,311","$12,626",$0,"-$12,685"
HYOSUNG HEAVY INDUSTRIES CORPORATION,2865 RIVERPORT,IDB1794A000000,0017940000000D,12/31/2019,12/31/2030,"$39,178",$0,"$9,794","-$29,383"
HYOSUNG HICO LTD,2865 RIVERPORT RD,IDB18020000000,"05011800000380, 05011800000550",12/14/2020,02/13/2031,"$442,579",$0,"$110,645","-$331,935"
HYOSUNG HICO LTD,2865 RIVERPOINT,IDB1821A000000,0018210000000D,12/31/2020,12/31/2031,"$265,069",$0,"$66,267","-$198,802"
"IDIG DAVENPORT, LLC",3292 HOLMES,IDB17450000000,9410000002890,12/31/2018,12/31/2031,"$545,347","$4,238","$136,337","-$404,772"
"IKEA U.S. EAST, LLC",0 GERMANTOWN,IDB10000000000,"09540000006000, 09650000007530, 09650000007540",12/31/2015,12/31/2026,"$454,796","$40,300","$113,285","-$301,211"
"IKEA U.S. EAST, LLC",7900 IKEA WAY,IDB1560A000000,0015600000000D,12/31/2016,12/31/2027,"$40,767",$0,"$6,489","-$34,278"
IMC COMPANIES LLC,1305 SCHILLING,IDB0000C000240,C02440A0007430,12/31/2021,12/31/2031,"$21,117","$15,838","$65,885","$60,606"
"IMPACT INNOVATIONS, INC",6269 SHELBY,IDB1736A000000,173600000000,12/31/2018,12/31/2027,"$17,643",$100,"$4,631","-$12,912"
IMPERIAL,6099 GLOBAL DRIVE,IDB18520000000,9420000005030,07/01/2021,07/01/2031,"$194,240","$5,547","$23,526","-$165,167"
INTERNATIONAL PAPER,5321 E SHELBY DR,IDB18500000000,9360000004410,07/01/2022,12/31/2030,"$99,902","$4,025","$11,581","-$84,296"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB09570000000,9420000004980,01/30/2015,01/30/2030,"$65,161","$4,470","$16,290","-$44,401"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB103A0000000,0001030000000D,12/31/2015,12/31/2030,$0,$100,$735,$835
INTERNATIONAL PAPER COMPANY,6420 POPLAR,IDB1270A000000,0012700000000D,12/31/2015,12/31/2030,"$19,437",$100,"$4,859","-$14,478"
INTERNATIONAL PAPER COMPANY,6400 POPLAR (THE TOWERS),IDB1280A000000,0012800000000D,12/31/2015,12/31/2030,"$24,682",$100,"$6,170","-$18,411"
INTERNATIONAL PAPER COMPANY,6340 POPLAR,IDB13400000000,"0800080000340C, 08000800003410, 08000800003420",12/31/2015,12/31/2030,"$491,237","$28,605","$122,809","-$339,822"
INTERNATIONAL PAPER COMPANY,1740 INTERNATIONAL,IDB1370A000000,0013700000000D,12/31/2015,12/31/2030,"$30,033",$100,"$7,508","-$22,425"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB1380A000000,0013800000000D,12/31/2015,12/31/2030,$0,$100,"$16,957","$17,057"
INTERNATIONAL PAPER COMPANY,3232 PLAYERS CLUB,IDB13900000000,8109100000040,12/31/2015,12/31/2030,"$116,442","$21,640","$29,111","-$65,692"
INTERNATIONAL PAPER COMPANY,2522 WINCHESTER,IDB14100000000,0601740000128L,12/31/2015,12/31/2030,"$22,725",$0,"$4,833","-$17,892"
INTERNATIONAL PAPER COMPANY,2522 WINCHESTER,IDB1420A000000,0014200000000D,12/31/2015,12/31/2030,$318,$100,$80,-$139
ISLAND PROPERTIES ASSOCIATES,715 HARBOR BEND,ICC02100000000,100100000550,10/27/1997,10/27/2028,"$22,374","$1,775",$0,"-$20,599"
ISLAND-HARBOR CORP,0 HARBOR TOWN,ICC02250000000,"00100100000610, 00100100000910, 00100100000920, 00100100000930, 00100100000940, 00100100000950, 0690770000013C,",11/01/1996,11/01/2021,"$451,819","$451,819",$0,$0
J M SMUCKER LLC,4789 CROMWELL,IDB09760000000,7403200000350,12/31/2014,12/31/2027,"$289,206","$38,117","$181,304","-$69,785"
J M SMUCKER LLC,4789 CROMWELL,IDB0986A000000,0009860000000D,12/31/2014,12/31/2029,"$129,416",$100,"$32,354","-$96,962"
J M SMUCKER LLC,4789 CROMWELL,IDB1190A000000,0011900000000D,12/31/2015,12/31/2030,"$6,429",$100,"$1,607","-$4,722"
J M SMUCKER LLC,4789 CROMWELL,IDB1580A000000,0015800000000D,12/31/2017,12/31/2032,"$8,833",$100,"$2,208","-$6,524"
J M SMUCKER LLC,4789 CROMWELL,IDB1718A000000,0017180000000D,12/31/2018,12/31/2033,"$13,099",$100,"$2,456","-$10,543"
JOHN MADISON EXUM TOWERS PRESERVATION LP,3155 SHARPE,IHE0004L000000,"05903700001390, 0590370000139C, 05903700001400",12/01/2015,11/30/2025,"$98,871","$32,101",$0,"-$66,770"
KNICKERBOCKER PROPERTIES,75 MUD ISLAND ACCESS,ICC03830000000,6907700000420,01/13/2000,01/13/2040,"$523,575",$51,$0,"-$523,524"
KNICKERBOCKER PROPERTIES INC XXXIX,1300 ISLAND,ICC04120000000,6907700000260,04/25/2000,12/25/2022,"$273,726","$9,687",$0,"-$264,039"
KNOWLEDGE QUEST,1044 LAUDERDALE,ICC07550000000,2503100000010,04/29/2015,04/29/2025,$873,"$1,003",$0,$130
"KTG USA, LP",400 MAHANNAH,IDB08680000000,0390350000017C,08/16/2011,08/01/20263,"$149,069","$106,922","$37,267","-$4,880"
"KTG USA, LP",400 MAHANNAH,IDB0904A000000,0009040000000D,12/31/2012,12/31/2027,"$396,355",$100,"$99,089","-$297,167"
"KTG USA, LP",400 MAHANNAH,IDB0927A000000,0009270000000D,12/31/2013,12/31/2028,"$122,941",$100,"$30,735","-$92,106"
"KTG USA, LP",400 MAHANNAH,IDB0964A000000,0009640000000D,08/16/2014,08/16/2029,"$227,043",$100,"$56,761","-$170,182"
LAMAR CROSSING (LAMAR APARTMENTS LP),2010 MEADOWLARK RUN,IHE0003N000000,5902100000520,06/06/2012,06/05/2032,"$116,697","$21,610",$0,"-$95,087"
LATHAM TERRACE LP,309 E E H CRUMP,IHE0002U000000,0130410A000030,01/31/2006,01/30/2026,"$1,546",$554,$0,-$992
LEDIC MANAGEMENT,138 ST. PAUL AVE,IHE0007A000000,21100000180,12/09/2016,12/09/2026,"$114,743","$2,913",$0,"-$111,831"
LEGENDS PARK COMMERCIAL I LP,0 PAULINE,ICC07290000000,5101700000090,11/12/2008,11/12/2023,"$40,878",$379,"$10,125","-$30,374"
LEGENDS PARK EAST LP,1003 NABOR,IHE0002J000000,"05101700000030, 05101700000040, 05101700000050, 05101700000060, 05101700000070, 05101700000120, 05101700000140, 05101700000180, 05101700000190, 05101700000200,",08/28/2008,08/27/2028,"$401,124",$834,$0,"-$400,290"
LEGENDS PARK EAST LP,290 AYERS,IHE0002P000000,"05101700000150, 05101700000160, 05101700000170",09/09/2010,09/08/2030,"$135,433",$697,$0,"-$134,737"
LEGENDS PARK NORTH LP,0 DELMAR,IHE0003C000000,5101700000190,11/07/2011,11/06/2031,"$3,686",$327,$0,"-$3,359"
LESAINT LOGISTICS LLC,5461 DAVIDSON,IDB18280000000,9420000004460,12/31/2020,12/31/2030,"$488,089","$149,445","$84,667","-$253,977"
LOGICAL SYSTEMS LLC,2756 APPLING CENTER,IDB08980000000,"09200500000130, 09200500000140",01/01/2013,12/31/2022,"$39,953","$10,253","$9,988","-$19,711"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS PKWY,IDB0852A000000,"0005820000000D, 0008520000000D",12/16/2010,12/31/2025,$149,$0,$37,-$112
LUCITE INTERNATIONAL INC,2665 FITE,IDB0853A000000,0008530000000D,12/16/2010,12/31/2025,"$16,148",$0,"$4,037","-$12,111"
LUCITE INTERNATIONAL INC,2665 FITE,IDB0890A000000,0008900000000D,12/31/2012,12/31/2027,"$2,522",$0,$631,"-$1,892"
LUCITE INTERNATIONAL INC,2665 FITE,IDB08910000000,D0135000004380,01/01/2012,12/31/2025,"$47,383","$38,081",$0,"-$9,302"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS,IDB0917A000000,0009170000000D,12/31/2013,12/31/2028,$70,$100,$18,$47
LUCITE INTERNATIONAL INC,2665 FITE,IDB0930A000000,0009300000000D,12/31/2013,12/31/2028,"$23,084",$100,"$5,771","-$17,213"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS,IDB0953A000000,0009530000000D,12/31/2014,12/31/2029,"$50,069",$100,"$12,517","-$37,452"
LUCITE INTERNATIONAL INC,2665 FITE,IDB1090A000000,0010900000000D,12/31/2015,12/31/2030,"$378,732",$100,"$94,683","-$283,949"
LUCITE INTERNATIONAL INC,7275 GOODLETTS FARM,IDB1100A000000,0011000000000D,12/31/2015,12/31/2030,"$21,143",$100,"$5,286","-$15,758"
LUCITE INTERNATIONAL INC,2665 FITE,IDB1756A000000,0017560000000D,12/31/2011,12/31/2026,"$1,824",$0,$456,"-$1,368"
MACON MANOR JSC BRAWLEY LLC,4517 MACON,IHE0003J000000,"05311200000240, 05312200000120, 0630010000004C",08/03/2012,08/02/2032,"$31,707","$16,395",$0,"-$15,312"
MAIN MONROE HOSPITALITY 2018 - MEMPHIS HOTEL PROPCO LLC,110 MONROE,ICC00450000000,205700000090,12/31/1984,12/31/2025,"$115,157","$2,691",$0,"-$112,466"
"MAIN STREET APARTMENT PARTNERS, LLC",0 MAIN,ICC07480000000,"00212500000100, 00212500000110, 00212500000120",07/18/2014,07/18/2034,"$345,181","$6,615","$84,641","-$253,924"
MAKOWSKY RINGEL GREEN LLC,1819 MADISON,IDB18290000000,0170470000003C,10/01/2020,09/30/2034,"$165,161","$6,577","$38,429","-$120,155"
MALONE PARK COMMONS LLC,97 SAFFARANS AVE,ICC07930000000,"00106100000110, 00106100000120, 00106100000170, 00106100000230, 00106100000240, 00106100000250",08/14/2020,08/14/2033,"$15,403","$1,526","$3,469","-$10,408"
MARK S. GRAWEMEYER AND LESLIE E. SMITH,530 MAIN,ICC02140000000,211400000170,12/31/1997,12/31/2022,"$3,427",$496,$0,"-$2,930"
MARK S. GRAWEMEYER AND LESLIE E. SMITH,522 MAIN,ICC02150000000,211400000140,12/31/1997,12/31/2022,"$1,330",$548,$0,-$782
MARK S. GRAWEMEYER AND LESLIE E. SMITH,524 MAIN,ICC02160000000,211400000180,12/31/1997,12/31/2022,$644,$155,$0,-$490
MARK S. GRAWEMEYER AND LESLIE E. SMITH,0 CALHOUN,ICC02170000000,211400000160,12/31/1997,12/31/2022,$713,$37,$0,-$677
MARK S. GRAWEMEYER AND LESLIE E. SMITH,520 MAIN,ICC02180000000,211400000130,12/31/1997,12/31/2022,"$2,472",$738,$0,"-$1,734"
MASON HOMES ON 4TH (MASON VILLAGE),900 S FOURTH,IHE0004Q000000,0130400000001C,08/01/2017,07/31/2037,$423,$178,$0,-$245
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB0908A000000,0009080000000D,12/31/2012,12/31/2026,"$36,562",$100,"$9,141","-$27,322"
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB0926A000000,0009260000000D,12/31/2013,12/31/2027,$374,$100,$94,-$181
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB1250A000000,0012500000000D,12/31/2015,12/31/2030,"$38,788",$100,"$9,697","-$28,991"
MCKESSON CORPORATION,4836 SOUTHRIDGE BLVD (RX PAK,IDB0939A000000,0009390000000D,12/31/2012,12/31/2023,"$5,412",$100,"$1,353","-$3,959"
MCKESSON CORPORATION,4971 SOUTHRIDGE,IDB0945A000000,0009450000000D,12/31/2011,12/31/2023,"$12,616",$100,"$3,154","-$9,362"
MCKESSON CORPORATION,4836 SOUTHRIDGE (RX PAK),IDB0981A000000,0009810000000D,12/31/2012,12/31/2023,"$71,798",$100,$986,"-$70,712"
MCKESSON CORPORATION,4836 SOUTHRIDGE,IDB0861A000000,0008610000000D,12/31/2010,12/31/2022,"$1,009",$100,$252,-$657
MCKESSON CORPORATION,4001 QUEST WAY,IDB0969A000000,0009690000000D,12/31/2014,12/31/2025,"$60,039",$100,"$15,685","-$44,254"
MCKESSON CORPORATION,4853 CRUMPLER (ROC -BLDG A),IDB0972A000000,0009720000000D,12/31/2014,12/31/2025,"$35,576",$100,"$30,068","-$5,408"
MCKESSON CORPORATION,4836 CRUMPER (ROC BLDG A),IDB0982A000000,0009820000000D,12/31/2013,12/31/2025,"$4,074",$100,"$1,019","-$2,956"
MCKESSON CORPORATION,4971 Southridge,IDB1793A000000,0017930000000D,12/31/2014,12/31/2026,$202,$100,$38,-$64
MELROSE PLACE RIVERVIEW/KANSAS COMMUNITY DEVELOPMENT CO,2P9O9R0 ABTAIRORNON,IHE0003T000000,5900600000730,05/06/2013,05/05/2023,"$42,515","$3,851",$0,"-$38,664"
"MEM3 CEDARWOOD, LLC",2880 BEVERLY HILLS ROAD,IHE0007I000000,880080000132,06/23/2022,06/22/2042,"$35,211","$9,261",$0,"-$25,950"
MEM3 SUNDRIDGE LLC,4990 CLINCHSTONE CIRCLE,IHE0007H000000,870530000050,06/23/2022,06/22/2042,"$31,294","$8,231",$0,"-$23,063"
"MEMORY AUSTIN BISHOP - UNION MAIN HOLDINGS, LLC",77 MAIN,ICC02240000000,204200000050,12/31/1997,12/31/2025,"$25,464","$1,737",$0,"-$23,727"
MEMPHIS 99 PARKING GARAGE LP,99 MAIN,ICC00500000000,200700000080,07/25/1985,07/24/2025,"$58,701","$30,240",$0,"-$28,461"
MEMPHIS COMMERCE SQUARE PARTNERS LLC,40 MAIN,ICC07360000000,0020560000001Z,12/23/2010,12/23/2030,"$250,860","$61,208","$47,413","-$142,239"
MEMPHIS COMMUNITY HOUSING INC,1443 COURT,IPH01150000000,"01702200000060, 7207200000280",11/30/1993,End of Loan,"$7,623",$504,$0,"-$7,119"
MEMPHIS JEWISH HOUSING DEVELOPMENT,0 POPLAR,IPH0000C000000,8000800002380,01/01/1989,End of Loan,"$9,549","$3,600",$0,"-$5,949"
MEMPHIS PLAZA LLC,2863 GETWELL,IHE0005Q000000,7301700001950,05/01/2020,04/30/2040,"$131,021","$14,916",$0,"-$116,105"
MEMPHIS REDBIRDS BASEBALL,UNION & THIRD ST,ICC03800000000,"0020600000004C,00206000000120,00502000 00021C",12/01/1998,12/01/2028,"$63,449",$0,$0,"-$63,449"
MEMPHIS SUPPORTIVE HOUSING INC,1456 GILLHAM,IPH0000M000000,8900800000480,10/05/2000,End of Loan,"$26,332",$835,$0,"-$25,497"
"MEMPHIS TOWERS TN TC, LP",1081 COURT,IHE0005L000000,0180680000001C,12/01/2020,11/30/2045,"$150,843","$63,529",$0,"-$87,314"
MEMPHIS VOLUNTEERS OF AMERICA ELDERLY HOUSING INC,3815 AUSTIN PEAY,IMC00000000030,8601500000770,04/21/2010,End of Loan,"$62,055","$2,700",$0,"-$59,355"
MH STRATEGIES FAMILY RAD,651 COMO DR,IHE0006L000000,"0110300A000030, 0110300A000040, 0110300A000050, 0110300A000060, 0110300A000070, 0110300A000080, 0110300A000090, 0110300A000100, 0110300A000110, 0110300A000120, 0110300A000130, 0110300A000140, 0110300A000150, 0110300A000160, 0110300A000170, 0110300A000180, 0110300A000190, 0110300A000200, 0110300A000210, 0110300A000220, 0110300A000230, 0110300A000240, 0110300A000250, 0010620A000050, 0010960A000210, 0010960A000300, 0010960A000370, 00110500000100, 00110500000090 ,0010960A000640, 0010960A000640, 0010960A000540, 0010960A000510, 0010960A000420, 0010960A000450, 0010960A000480, 00110400000110, 00110400000100, 00110400000100, 00110300000090, 00110400000090, 00105900000160, 00105800000190, 00105900000130, 00105800000150, 00107500000040, 00107500000040, 00107500000040, 00108800000190, 00109000000170, 00109800000100, 00109800000110, 00109900000260, 00109900000270, 0270070000024C, 00107200000290, remaining provided upon request",12/01/2021,11/30/2041,"$261,909","$27,968",$0,"-$233,941"
MH STRATEGIES FAMILY RAD,943 COLLEG PARK DR,IHE0006Y000000,"0140080A000020, 0140080A000010, 0140080A000030, 0140080B000030, 0140080B000010, 0140080B000040, 0140080B000050, 0140080B000060, 0140080B000043",12/01/2021,11/30/2041,"$120,063","$87,937",$0,"-$32,126"
MHF MEMPHIS VI LLC,164 UNION,ICC07610000000,0020540000003C,07/20/2018,07/20/2032,"$249,139","$19,235","$57,476","-$172,428"
MICROPORT ORTHOPEDICS INC,11481 GULF STREAM,IDB0000A000090,A0141000001560,10/29/2009,10/28/2020,"$3,729","$3,729",$0,$0
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00010A,3000100000000D,12/31/2010,12/31/2021,"$24,914","$24,914",$0,$0
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00012A,3000120000000D,12/31/2014,12/31/2029,"$6,733",$100,"$1,683","-$4,949"
MICROPORT ORTHOPEDICS INC,5640 & 5650 AIRLINE,IDB0000A000160,"A0142000004050 ,A0142000007860",12/31/2014,12/31/2028,"$85,273","$8,579","$21,318","-$55,376"
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00017A,3000170000000D,12/31/2015,12/31/2030,"$7,548",$100,"$1,887","-$5,561"
MICROPORT ORTHOPEDICS INC,5677 AIRLINE,IDB0000A00018A,3000180000000D,12/31/2016,12/31/2031,"$11,473",$100,"$2,868","-$8,505"
"MID-AMERICA APARTMENTS, LP",6815 POPLAR,IDB0000G00006A,6000050000000D,12/31/2018,12/31/2033,"$16,744",$0,"$4,186","-$12,558"
MILLCREEK DEVELOPMENT PARTNERSHIP LP,4461 MILLBRANCH RD,IHE0004E000000,0790420000060C,12/31/2014,12/29/2024,"$80,955","$30,341",$0,"-$50,613"
MILLENNIA HOUSING MANAGEMENT,381 MADISON,IHE0007F000000,70000000010,12/19/2018,12/18/2028,"$46,996","$22,037",$0,"-$24,959"
MIMEO.COM,3350 MIAC,IDB1716A000000,0017160000000D,12/31/2018,12/31/2033,"$18,539",$0,"$4,635","-$13,904"
MIMEO.COM,3350 MIAC,IDB1782A000000,0017820000000D,12/31/2019,12/31/2034,"$7,280",$0,"$1,820","-$5,460"
MIMEO.COM,3350 MIAC,IDB17990000000,7300600000550,01/01/2020,12/31/2034,"$61,618","$14,029","$5,504","-$42,085"
MIMEO.COM,3350 MIAC,IDB1812A000000,0018120000000D,12/31/2008,12/31/2021,"$17,988",$0,"$4,497","-$13,491"
MOB LLC,160 SCHILLING,IDB0000C000200,C024400A004390,12/31/2019,12/31/2029,"$126,135","$35,017","$24,281","-$66,837"
MOORE BUILDING ASSOC LP,185 MONROE,ICC03250000000,0020630000001C,12/29/1998,12/31/2028,"$171,087","$7,797",$0,"-$163,290"
"MUELLER INDUSTRIES, INC",150 SCHILLING,IDB0000C0017A2,5000170000000D,12/31/2018,12/31/2038,"$12,788",$0,"$3,197","-$9,591"
NAIL BAR ON THE ISLAND LLC,113 HARBOR TOWN,ICC07410000000,0010010S000040,02/14/2012,08/31/2024,"$2,978",$66,$0,"-$2,911"
"NATIONAL CHURCH RESIDENCES OF MEMPHIS, TN",5819 NEWBERRY,IMC00000000010,0934000000224C,07/17/2009,End of Loan,"$48,557","$2,940",$0,"-$45,617"
"NAVIN PARTNERS, LLC",251 COURT,ICC07570000000,202600000100,05/31/2017,05/31/2032,"$5,516","$10,937",$98,"$5,519"
NEW BLOSSOM APARTMENTS,0 THIRD,IHE0004C000000,0021310000007C,01/01/2014,12/31/2023,"$60,901","$1,087",$0,"-$59,814"
"NIGHTHAWK COUNTRY VIEW, LLC",4045 RALEIGH-MILLINGTON,IHE0005D000000,"0860120000144C, 08601200001870, 08601200001910, 08601200001920",07/30/2018,07/30/2028,"$44,313","$17,433",$0,"-$26,880"
"NIKE TN, INC",3100 NEW FRAYSER,IDB0838A000000,0008380000000D,12/31/2009,12/31/2023,"$22,295",$100,"$5,574","-$16,621"
"NIKE TN, INC",3100 NEW FRAYSER,IDB09120000000,"0900780000025C, 09007800000280, 09007800000290, 09007800000300",12/31/2013,12/31/2028,"$1,953,681","$22,565","$488,420","-$1,442,696"
"NIKE TN, INC",3100 NEW FRAYSER,IDB0924A000000,0009240000000D,12/31/2013,12/31/2028,$236,$100,$59,-$77
"NIKE TN, INC",3100 NEW FRAYSER,IDB0958A000000,0009580000000D,12/31/2014,12/31/2029,"$120,073",$100,"$30,018","-$89,955"
"NIKE TN, INC",0 RALEIGH FRAYSER,IDB09890000000,"09007800000250, 0900780000025C, 09007800000270, 09007800000300",07/31/2014,07/31/2029,"$91,510","$24,632","$22,877","-$44,001"
"NIKE TN, INC",3100 NEW FRAYSER,IDB1300A000000,0013000000000D,12/31/2015,12/31/2030,"$105,025",$100,"$26,256","-$78,668"
NOVEMBER 6 INVESTMENTS,64 S MAIN ST,ICC07980000000,205600000090,04/17/2019,04/16/2032,"$2,735","$2,994",$0,$259
NTERNATIONAL PAPER COMPANY,3232 PLAYERS CLUB,IDB1815A000000,0018150000000D,12/31/2016,12/31/2031,"$66,441",$100,"$16,610","-$49,730"
NTERNATIONAL PAPER COMPANY,6400 POPLAR (TOWER 3),IDB1817A000000,0018170000000D,12/31/2016,12/31/2031,"$6,216",$100,"$1,153","-$4,963"
